2037,-0.12090121696181699,-0.10608488597747899,-0.038532771136069004,-0.074797013745619,-0.04928462688567199,-0.03726259446203,-0.082308970171576,-0.027360895904931994,-0.083578709848514,-0.060374981209039,-0.046669316002882
2038,-0.123865231969015,-0.10899824831441901,-0.040805594273054,-0.076577816038365,-0.05359629003520401,-0.039732580821226,-0.08603387747523299,-0.031095409763484003,-0.08708579098287199,-0.061915906195967,-0.047699463187846
2039,-0.125512763052705,-0.111817302708382,-0.043414647871912994,-0.078037697877717,-0.058294478521858,-0.042538062384263,-0.08955284627151999,-0.035465558375724994,-0.09070018123225101,-0.062730972963955,-0.048487866560896986
2040,-0.126748211165933,-0.11497215843968199,-0.046369121443156,-0.07946944725337901,-0.06308244299515199,-0.045961732400142,-0.093266660687991,-0.04056531915103499,-0.09449166251303101,-0.06419287475025201,-0.05012649372547799
2041,-0.128825887703304,-0.11802301546937599,-0.048959292643713,-0.080636868133099,-0.068319331241237,-0.048867969415788,-0.09737815888976101,-0.046221992680804,-0.098847107945818,-0.06547261880873101,-0.052133716150365994
2042,-0.13048373421620402,-0.12057354283896599,-0.051930616740093,-0.082230088313895,-0.072898135948253,-0.051931249647743996,-0.101464319115362,-0.051326267944089995,-0.10389017203427098,-0.06711526893724301,-0.053732024751419
2043,-0.132965334844031,-0.12340543006581299,-0.054399862020232004,-0.08376094862708,-0.07788812843715101,-0.055864451634370996,-0.105111506301895,-0.055674996945638995,-0.10870345433533898,-0.069426090942865,-0.05544763740848101
2044,-0.13535244974894,-0.126161139850581,-0.057242789532763017,-0.084780834856865,-0.08352982725819401,-0.060090915005981,-0.10833309542497799,-0.058951990628676995,-0.11315681778065201,-0.07055426390123501,-0.057146743992794
2045,-0.138008872440809,-0.128436829376679,-0.06051802033430499,-0.085812121595629,-0.08958850393666999,-0.06455451530322501,-0.11164217000785501,-0.061995207814428,-0.11889808153295198,-0.07129120877315001,-0.058552781049688
2046,-0.14017324817415,-0.130715223713521,-0.06389050583948301,-0.08660441289072601,-0.095528069823718,-0.069380583986607,-0.11531289720097698,-0.06491406856780099,-0.125250528209375,-0.072310337437639,-0.05953880898094599
2047,-0.142075175912836,-0.132454890152118,-0.067293834554834,-0.087153359296896,-0.10140423147397601,-0.073187307268178,-0.11898619061417001,-0.06748407787282,-0.13077874067293402,-0.07447465369727299,-0.06114335363933901
2048,-0.144439583826204,-0.134561753909887,-0.070637428770316,-0.08725564677747699,-0.107215037318656,-0.077581148260672,-0.12309650487739701,-0.07034056517788001,-0.13677189315762303,-0.075938496531846,-0.062697101818319
2049,-0.146206215327702,-0.136524028960919,-0.07388393613569,-0.087075621267274,-0.112940169899784,-0.081231111443086,-0.12649993746015298,-0.072158675648422,-0.14231016721439302,-0.077010818232278,-0.06356945704667
2050,-0.148159957474265,-0.138225910995182,-0.07631550363599199,-0.08796697648124101,-0.118877189650472,-0.085069687183301,-0.130105592763472,-0.07431523538225701,-0.148143375357279,-0.078881254593579,-0.06517898277581399
2051,-0.150054579291106,-0.140135902180288,-0.079060515540707,-0.08898812534690301,-0.12505364259496,-0.08930728183773999,-0.13394902445731602,-0.076170354315731,-0.152157265371499,-0.08173965361320899,-0.06785390787543999
2052,-0.151130351023106,-0.14124469907668902,-0.08168085956842999,-0.090245329137285,-0.129136337062687,-0.092335439618315,-0.137484335774851,-0.077763740345709,-0.15603942894296496,-0.082082192018765,-0.069803528955943
2053,-0.152587951659271,-0.142692611948238,-0.08424890903278201,-0.08917194562960301,-0.133275693185634,-0.09506829385924101,-0.140562962393448,-0.07929767044384001,-0.15827057900203698,-0.084637071328325,-0.07168792921970002
2054,-0.153711006842925,-0.143916662439463,-0.08689393951132998,-0.09009246594577501,-0.13654162782719298,-0.097633885009561,-0.14380263423639897,-0.080061226106622,-0.16283715145612304,-0.08621051380574801,-0.07370894745081702
2055,-0.15431946395270602,-0.14527981495445,-0.089354892932641,-0.09073446941794598,-0.140060939207654,-0.100018596956143,-0.14641938197064103,-0.081813464731437,-0.164561700531747,-0.08851931414288898,-0.075208408723235
2056,-0.155290909264298,-0.145787968751646,-0.09137990767089,-0.09219529008916699,-0.143247966035816,-0.101314105650404,-0.14870844728936597,-0.08363543655797,-0.16657621116190402,-0.09074405403919399,-0.077530939152509
2057,-0.156463469443419,-0.146495189804643,-0.09337366242797199,-0.091724598716172,-0.145719866956494,-0.102726062176413,-0.15141004305431202,-0.085401031505106,-0.16632292403391397,-0.09282519633542201,-0.080269292949491
2058,-0.157347996666744,-0.147066374609939,-0.09501527939799201,-0.092096289636494,-0.14816804910254397,-0.10404859039237799,-0.15434989998522,-0.086937182657108,-0.167779075867721,-0.09454870880675599,-0.08227018319420601
2059,-0.158649249817683,-0.14788785094776502,-0.097559604659773,-0.09174244741985399,-0.150756329722749,-0.105700527201916,-0.15662863882154401,-0.088173211170411,-0.169150367968629,-0.09630452343798498,-0.08429767948473602
2060,-0.15921108367433598,-0.149686269298448,-0.099452568900676,-0.09228519219074,-0.153311426182744,-0.107079806360534,-0.15911883017607698,-0.089499789435386,-0.169598533322511,-0.09858972322886199,-0.08605425244654502
2061,-0.159941435772765,-0.150625470091881,-0.100650255748042,-0.09347634904677402,-0.155770374391339,-0.108005894432952,-0.160695547238788,-0.090497626271641,-0.16995905313265602,-0.10046554071462101,-0.087711863448281
2062,-0.160660672204053,-0.15170113007956,-0.103113040391102,-0.094338970480951,-0.15879017315043997,-0.109111572473769,-0.162120260305951,-0.091822986444514,-0.17006789237604802,-0.102080415287545,-0.09052389199661603
2063,-0.161022423959243,-0.152545286961774,-0.105256997723197,-0.094860040177797,-0.16199879013630497,-0.110143197530368,-0.163535125893306,-0.092901655324864,-0.171399938370369,-0.103541538945686,-0.09248460914898501
2064,-0.161692294778155,-0.15353773411031102,-0.108036538632844,-0.09606642387637701,-0.16533260543772302,-0.11096892934984501,-0.16565033409490398,-0.094599235796411,-0.169805725381532,-0.105288797335193,-0.09429987952135602
2065,-0.162455742054371,-0.15426397700655098,-0.110365106481165,-0.097658243604484,-0.16838129302002902,-0.111912618339475,-0.167274628998978,-0.09672428577001699,-0.16853282323225,-0.10699768736215,-0.09581322145881901
2066,-0.162449612911579,-0.154783027406841,-0.11219186629807398,-0.09855432257530003,-0.171761449883018,-0.112715482066075,-0.169326071941457,-0.09842348805291701,-0.170453502641821,-0.10854317546278901,-0.09854307310521901
2067,-0.16326893025189299,-0.155268986430796,-0.11372931515349499,-0.10054463401523298,-0.17394163915764002,-0.1140262909389,-0.17133276186851099,-0.098971041960003,-0.172203818515881,-0.11001807734227902,-0.10111691162869202
2068,-0.16415095433970298,-0.155935399248664,-0.11538018337371701,-0.102089420295607,-0.17603718290322698,-0.115248428149946,-0.17304192867952195,-0.100403002971734,-0.172026869545161,-0.111307652192327,-0.10371081417826902
2069,-0.16495848394117002,-0.156945028342802,-0.117232879863754,-0.10391273691099798,-0.17823357615186602,-0.116301953937381,-0.17443478674400803,-0.10223056088702101,-0.172440377156788,-0.11252515620904899,-0.105461585051217
2070,-0.16559710192403101,-0.15800741163841,-0.119477378579026,-0.10455115085838701,-0.180991418274707,-0.117563072650042,-0.17588002611952097,-0.103415254846348,-0.172951717605462,-0.113815032480697,-0.108003909903826
2071,-0.16625449703149298,-0.159051342526523,-0.122365325721703,-0.104863059591154,-0.183012982521999,-0.118862513269264,-0.176806075221416,-0.10476712585192399,-0.17335757389079098,-0.11465571348301601,-0.11019137121267
2072,-0.166580593565434,-0.159295364319692,-0.12482732886508202,-0.105238037813533,-0.185195277428465,-0.120026250683546,-0.178754718071016,-0.105915860787556,-0.173824168278769,-0.116073580459488,-0.11233831094616703
2073,-0.16730613593446098,-0.160196848620387,-0.12747468854969302,-0.10600774865425702,-0.187718711807292,-0.121241900268076,-0.18001928811771,-0.106951420838134,-0.173925324910682,-0.11698092894787501,-0.11471700043399399
2074,-0.168385693600854,-0.160698864795599,-0.129652272813448,-0.10714342598623,-0.190380050074689,-0.122454644637255,-0.18254422919992902,-0.108311912102231,-0.174599643011633,-0.11877109554584898,-0.11630899322347799
2075,-0.169400616724048,-0.161614661163826,-0.131985559776302,-0.10826587920941899,-0.19230828204914002,-0.123603211635826,-0.18492178629026002,-0.10951637456579201,-0.175744230361924,-0.12044260395791599,-0.11822660374239499
2076,-0.170344570276897,-0.162333841175972,-0.133664903806712,-0.10919247762787199,-0.19434605128709703,-0.12487566881119701,-0.18622868491070804,-0.110416222776917,-0.17715939093987199,-0.121877917712034,-0.12092769605987799
2077,-0.17194405641334098,-0.163214295860894,-0.135528028756093,-0.11055995200625399,-0.19687195771979898,-0.126218416353234,-0.18779985956642498,-0.111533760127962,-0.17719911242730502,-0.12266354542236899,-0.12312092933791
2078,-0.17369035138375,-0.16463729983953398,-0.137201954551468,-0.11132750560832899,-0.19984581351451502,-0.127373402111825,-0.18981386413998497,-0.11313518956455801,-0.17724133881690202,-0.12421739162625199,-0.125840161007724
2079,-0.174959576176679,-0.165916363262593,-0.138862841106696,-0.11272222870552398,-0.202533342268585,-0.128279001196938,-0.19197093271181098,-0.11400641187639002,-0.17676134625631,-0.125353633995429,-0.12895295765227402
2080,-0.175865228264737,-0.167204054534822,-0.140860867145072,-0.11438844594883502,-0.20539678619606,-0.129607195043652,-0.19394467998207698,-0.11557391172035399,-0.177934505128814,-0.126138499623288,-0.131985892625183
2081,-0.17664989463581401,-0.168344905608559,-0.143155573883513,-0.11635759970324,-0.207636688501392,-0.130945394284983,-0.19549094151949997,-0.116679882318422,-0.17903592444195499,-0.12718307974897802,-0.134387368096603
2082,-0.177554192275742,-0.16936891924179098,-0.145533016772599,-0.11782570003868797,-0.2093886922382,-0.131694237602494,-0.19681051883176304,-0.117549190831478,-0.178983847050746,-0.128498549032847,-0.13729596742328298
2083,-0.1782854101283,-0.1703340904734,-0.147832793958323,-0.12000770629581703,-0.21174208900254604,-0.133178320674535,-0.20010770940972905,-0.118160171897251,-0.17915477080369202,-0.129277954374391,-0.14080465330023
2084,-0.178654181826565,-0.17113799283881,-0.150845533571763,-0.122082205268087,-0.21363161986184304,-0.134828747372792,-0.20269555538886908,-0.11900077067167202,-0.18052662489749602,-0.130016845956125,-0.14379632223891597
2085,-0.17905575684884,-0.17246855949308998,-0.153096689543787,-0.124532730940697,-0.215484056893605,-0.136486891409665,-0.20472683896743898,-0.11983299852459402,-0.18203837379607998,-0.132267303228576,-0.146378395166131
2086,-0.179752086652965,-0.17328218744740498,-0.154628316183313,-0.12644194360398897,-0.21789665090809496,-0.137792345844338,-0.20692798206099705,-0.12055928904798002,-0.181630386644784,-0.13271887473649202,-0.14872075141814897
2087,-0.180363617485217,-0.173938479881437,-0.15710671384217398,-0.127978981140084,-0.21978886799244302,-0.13916152938629,-0.208625481524209,-0.12123579344683699,-0.18207078505143598,-0.135378935795473,-0.15015898143416304
2088,-0.18102339191668199,-0.174659946195143,-0.160225976981667,-0.12986042682551302,-0.22190013644271606,-0.140693354150137,-0.211467798413373,-0.12209076829101799,-0.18251888917127002,-0.13841657848281802,-0.15285794696465002
2089,-0.18205639019217898,-0.175456433752055,-0.16288077916494598,-0.131237624799856,-0.22467557483205297,-0.141769127182329,-0.21315782887616697,-0.12305756187178701,-0.182297679092473,-0.140191207912306,-0.154949481622546
2090,-0.182819590999811,-0.176710154961537,-0.165256661009051,-0.13294568432472204,-0.22703417768826906,-0.143271372544747,-0.21464528286087498,-0.12377699100678499,-0.182148437543889,-0.14308259883887298,-0.15558076206485202
2091,-0.183441100016121,-0.176733079696682,-0.16729227822096998,-0.135108002282957,-0.22889287801785307,-0.144450806209117,-0.216630852199153,-0.1250668831088,-0.18300949113803303,-0.14568072565094803,-0.157707846867455
2092,-0.18418977146360002,-0.177640974137846,-0.169387548725623,-0.136340711203923,-0.23104964900264202,-0.145950185278999,-0.21868459130936402,-0.125788470481639,-0.18323085734361902,-0.14713267625819698,-0.15988944697264698
2093,-0.185285098412415,-0.178992665356975,-0.17128591244508498,-0.13857127357801902,-0.23455342252132,-0.147201313025128,-0.22019183590078706,-0.126500614882749,-0.183667935148426,-0.15018869210303398,-0.16157653774504402
2094,-0.186210592977675,-0.180540012217734,-0.17318255501306198,-0.13963309789345596,-0.23714338572300697,-0.14860215446608,-0.222192254047055,-0.127411573945142,-0.18373173330526102,-0.151908203641349,-0.163230727413722
2095,-0.186593262670982,-0.181925173813227,-0.17476068786550902,-0.141414043261204,-0.23908694431344701,-0.149768098905772,-0.22332260953938,-0.128540719329611,-0.184027481225843,-0.15491356184796398,-0.16554872670268
2096,-0.187171558326406,-0.183411550423182,-0.176469133959872,-0.143135187669015,-0.241471726518119,-0.15089520878235602,-0.223933672023803,-0.12952971032919203,-0.18427999332002798,-0.15752292061253098,-0.16811917312169497
2097,-0.18817306921685,-0.184803973839514,-0.177885801653295,-0.14414495687141898,-0.243173778728295,-0.152071178458842,-0.22503437065512,-0.13068713795967002,-0.18431496713672899,-0.15973799395856098,-0.17007980873418801
2098,-0.189267716383477,-0.186835765419228,-0.179033687640528,-0.14586851635126497,-0.24607100803039894,-0.15280889695997601,-0.227294692071198,-0.131829720530378,-0.184966495571074,-0.163113410640364,-0.171467337535675
2099,-0.190422845583823,-0.18841247752023,-0.18072752326234098,-0.14763329801999098,-0.24876545195716093,-0.15397648581541,-0.22992174063433496,-0.132836901393747,-0.185600094394855,-0.16567253320834396,-0.172751891572834
2100,-0.191259441586553,-0.189288431599659,-0.181712422307959,-0.149032345869066,-0.25127301754374404,-0.154965696458089,-0.23027800477749005,-0.13362069516166902,-0.185733874471659,-0.16728093623886897,-0.17389025682352302
end_data,,,,,,,,,,,
