2036,-0.15552806636789865,-0.13310018843748603,-0.029225474260633034,-0.06715147401466003,-0.03523921886079232,-0.03523921887853648,-0.07547238629424471,-0.024715244232470065,-0.07547238629222412,-0.058341706337853766,-0.04110884463664357
2037,-0.16123238690789254,-0.1390842128718854,-0.03157909462420331,-0.06939246325260338,-0.03881037689760824,-0.03881037690239692,-0.07890790236062574,-0.026706195199330922,-0.07890790235806787,-0.060152545243587305,-0.04158678569692224
2038,-0.16508675262896017,-0.14408128775156798,-0.03390443720515869,-0.07102077765593688,-0.04236325685849586,-0.04236325685862349,-0.08195169781554905,-0.030194272905620687,-0.08195169781966229,-0.06182978424920979,-0.0421600193668764
2039,-0.16985640148717573,-0.149253556960901,-0.036447901366084515,-0.07284486068332502,-0.046553717219483974,-0.04655371721890032,-0.08581091585279446,-0.034671169274139234,-0.08581091585459386,-0.06359103177321455,-0.042557500098964356
2040,-0.1744629509471381,-0.15461399822402405,-0.03881868290106891,-0.0745468671303085,-0.05029582474562028,-0.05029582474158606,-0.08906463972051919,-0.04002795725814865,-0.0890646397331915,-0.06583826071779321,-0.043142577264156545
2041,-0.17819864389899698,-0.15941764281877105,-0.0415500588594468,-0.07622442585849695,-0.05483141529407583,-0.05483141529194588,-0.0917512404536133,-0.04644639118653966,-0.0918738237820933,-0.06745358562382264,-0.043187029621994506
2042,-0.18180253301555105,-0.1639348801636373,-0.04479360852415061,-0.07774015876768858,-0.05916258360554847,-0.059162583603148036,-0.0946670338785143,-0.05185534764934881,-0.09558181911025967,-0.06893448286578024,-0.0433823801007019
2043,-0.18569277166698403,-0.16794247847161092,-0.04779681034069952,-0.07907586377028222,-0.06455103651985514,-0.0645510365203462,-0.09744919318150144,-0.057072966085148835,-0.09966139770796599,-0.07070445979759439,-0.04346125252721085
2044,-0.18966246298272418,-0.17181736055114144,-0.05095142078321674,-0.08057088065722542,-0.07031512627169341,-0.07031512627222856,-0.10006861460721182,-0.06239634990338608,-0.10432133543096501,-0.07157293087566262,-0.04338030044365943
2045,-0.19304839924169845,-0.17564680508728314,-0.05412995925169234,-0.08173911946969999,-0.07594452589702791,-0.07594452590054311,-0.10237558530991092,-0.06699465714545065,-0.10957215176588114,-0.0735127387093452,-0.0431395357935663
2046,-0.19655254183780183,-0.17964734723328663,-0.057252226200476077,-0.08276440278560829,-0.08234449837522993,-0.08234449836776754,-0.10471705305299749,-0.07179162351047196,-0.11513431195202045,-0.07536688567060348,-0.042780247704555824
2047,-0.19991033040284328,-0.1828763607332872,-0.06091351490350882,-0.0834296896544603,-0.0885485985147781,-0.08854859851800659,-0.10760722249811175,-0.07576973143298718,-0.12121669443826083,-0.0767956369407738,-0.042241525602567866
2048,-0.20321168205214188,-0.1859691567054994,-0.06437580098427637,-0.0842527781377613,-0.09472171368165888,-0.09472171367456206,-0.10977824838866208,-0.0799888545456027,-0.12758010629590982,-0.07945891370010659,-0.042223561249394935
2049,-0.20666928572963447,-0.18895114062334228,-0.06807041309851133,-0.08527546905091982,-0.10120780273505474,-0.10120780273250973,-0.11258226184358512,-0.08385260304686942,-0.13446175513595035,-0.08152151200152077,-0.04221508333512797
2050,-0.21058761584289168,-0.1926106290607693,-0.07148851707843584,-0.08628691941271907,-0.10834305076604328,-0.10834305076349253,-0.1151804294496083,-0.08789049133774789,-0.14189568779823167,-0.08325768550653483,-0.041310010641330226
2051,-0.2144756509273858,-0.19557867278484817,-0.07514024859856916,-0.08701035869887608,-0.11492395796525087,-0.11492395796539388,-0.11788504653619897,-0.0909630147134856,-0.14846093969883128,-0.08439275434031045,-0.041129075615592106
2052,-0.21660230866772548,-0.1981929862870849,-0.07861067298905938,-0.08762344198286322,-0.12065475511421865,-0.12065475511602436,-0.12001750577474714,-0.09385632864571992,-0.15359980735568002,-0.0866995916105721,-0.040653337978960105
2053,-0.22003043476616382,-0.2004615999719467,-0.08246514056935325,-0.08794023887566238,-0.1258031806672432,-0.1258031806653247,-0.12191913942251481,-0.09660641846927531,-0.15954834847293625,-0.08808270288156606,-0.03937048660622718
2054,-0.2226914168018482,-0.20344362655721335,-0.08584099077304357,-0.08769739225093096,-0.1299962806601418,-0.12999628064971847,-0.1232025790292711,-0.0998550779550744,-0.16483202410647158,-0.0900564638940755,-0.038430736120617925
2055,-0.22528411260636394,-0.2058338228392715,-0.08930964515352707,-0.08794076208267489,-0.13383939482145482,-0.13383939482302948,-0.12467676668453871,-0.10191097760249414,-0.1702208711999087,-0.09140274504733109,-0.038025417170041244
2056,-0.2272770336126804,-0.20833203256840863,-0.09252550062163607,-0.08808264853769157,-0.13771363347525134,-0.13771363348651292,-0.1260945261598362,-0.10465453979169041,-0.17478751202618834,-0.09356480250100331,-0.03825411834658862
2057,-0.22981534135739548,-0.21038726685700995,-0.09559118911748603,-0.08820893070335535,-0.14075673110660314,-0.14075673111263143,-0.12726547065724056,-0.10755740886350275,-0.17975962872923312,-0.09553193144663469,-0.03794627566714754
2058,-0.2318882942633722,-0.21243784208506072,-0.09923321528188608,-0.08818176719266578,-0.14353480720832318,-0.14353480721719758,-0.12793103491286023,-0.1099873034637058,-0.18424651428285832,-0.09716106245529561,-0.03846250588341534
2059,-0.23374047136453271,-0.2144263606164691,-0.10283550870381396,-0.08777028982472704,-0.14596005691168193,-0.14596005692179384,-0.12871589364359345,-0.11195084115835635,-0.1874183260987358,-0.0988059737058147,-0.03889718318976952
2060,-0.23600927900783608,-0.21656485371339615,-0.1067005119890534,-0.08724763956341275,-0.14844986873779267,-0.14844986873626542,-0.12961126926925098,-0.11481684251123646,-0.19180107714255112,-0.10083215486027941,-0.039268541740392855
2061,-0.237769265932443,-0.21855291932537302,-0.11041940919340681,-0.0870494475742098,-0.15092390928292448,-0.15092390928008786,-0.12999475636732763,-0.11776530145245839,-0.19608274094678052,-0.10286868266527716,-0.03993694487201399
2062,-0.23905045854183046,-0.22072040373895377,-0.11449845852505047,-0.08638224582697357,-0.15289965811356587,-0.1528996581170864,-0.13038049878216673,-0.12002946432266114,-0.20005790642893284,-0.10472641167071003,-0.040789321319831304
2063,-0.24033300708403046,-0.22291429840606086,-0.11790969796181339,-0.08635609753192693,-0.15501294575950397,-0.15501294577427008,-0.13120139042320655,-0.1220021273016747,-0.2031023357062781,-0.10651528628449024,-0.04206061833340997
2064,-0.2417643236240467,-0.22481070332442007,-0.12153730781264696,-0.08564432844977533,-0.15658764167964212,-0.15658764169425987,-0.13157469498032634,-0.12412752564832699,-0.20691745173139225,-0.1082413428665768,-0.04398176659479762
2065,-0.24314412810206742,-0.22601185974503937,-0.12497575861948144,-0.08510728926594463,-0.1582657109159839,-0.15826571092812813,-0.131983548256216,-0.12610698350757613,-0.20974636988587939,-0.10926147769445006,-0.045738502746188445
2066,-0.2444686169161789,-0.2271992763730984,-0.12833675358888877,-0.0844041783449784,-0.16020480648359461,-0.16020480648778893,-0.1325227273644196,-0.1278953821049481,-0.212307255699373,-0.11044676378180161,-0.04741087093794692
2067,-0.24531859560946737,-0.22837232174610378,-0.13166524226124796,-0.08425195750139294,-0.16228056657178846,-0.16228056658345894,-0.1331874635105669,-0.1298915508418051,-0.21522502919952424,-0.11178771320908673,-0.04959865288808436
2068,-0.24614296765956253,-0.22973071332367337,-0.1351065993469184,-0.08397544691036332,-0.16416230474485877,-0.16416230477357613,-0.1336592524218374,-0.13208758116375316,-0.2180819591255733,-0.11344979552449513,-0.05189049016087402
2069,-0.24733734300800664,-0.23140794761253666,-0.138309967810148,-0.08346016602135055,-0.16621062110942159,-0.1662106211194439,-0.13451549438099447,-0.13381638182361918,-0.2207515591885147,-0.11431413967352083,-0.05440173448390615
2070,-0.2484951821779028,-0.23285142412885898,-0.14156975580574155,-0.08276596426712653,-0.16823355295569192,-0.1682335529540783,-0.13521543461003363,-0.13609478344165138,-0.22454090468756413,-0.11540114661905736,-0.056943138423930874
2071,-0.249308703404389,-0.23421344770965785,-0.1450962721782219,-0.08189387639760473,-0.16984025437407815,-0.16984025437139033,-0.13591496835089273,-0.1377960275335963,-0.227607375992121,-0.11639066521170074,-0.060059784097566876
2072,-0.250711974874813,-0.23536230175534054,-0.14823707404288397,-0.08138958255908356,-0.17156248278760983,-0.17156248278884254,-0.13662228634176446,-0.139162781450444,-0.230657294771078,-0.11727760115430481,-0.06315869985115455
2073,-0.2524446439747793,-0.23677122113988922,-0.15263048645345256,-0.08046762339971092,-0.1732281573539688,-0.17322815735603178,-0.13747242467489823,-0.14090403198799462,-0.23285139465560226,-0.1179462016510639,-0.06590613338480374
2074,-0.2540882550693842,-0.23825856222456662,-0.1559245989512981,-0.07990671257312132,-0.17473930238344093,-0.17473930238112098,-0.13884905171892692,-0.14275681512898636,-0.23473083074595372,-0.11855570067214566,-0.06853303145288059
2075,-0.2557255036693346,-0.24017512548568473,-0.15913708398609927,-0.07968158722947272,-0.17634177092511993,-0.17634177093093503,-0.14028167424309698,-0.1445950330240407,-0.2363681927560229,-0.12000533933869319,-0.07158116294314795
2076,-0.25690181587157734,-0.24195523965913698,-0.16261823747236814,-0.07940836024498238,-0.178031010877541,-0.17803101087142323,-0.1412572633426947,-0.14614512712594344,-0.23788331854231845,-0.12110144441159078,-0.07491524346620647
2077,-0.25793552561639516,-0.24394327208379746,-0.16599749634178995,-0.07883277040555081,-0.17966531089212787,-0.17966531088774756,-0.14245080434911273,-0.14750766766447362,-0.24004714164663374,-0.12224275245875094,-0.07836928075783428
2078,-0.2595980523305829,-0.2452083720002026,-0.16927040959504958,-0.07792143376708968,-0.18104067565550802,-0.1810406756493273,-0.14387411319802346,-0.14907098699080787,-0.24224772066674,-0.12309671563005312,-0.08156398140353142
2079,-0.2613864817078209,-0.24729583184964088,-0.1719337926776776,-0.07730314534049185,-0.18265515561428336,-0.1826551556147226,-0.14533518209205806,-0.15040275033230555,-0.2444270280529504,-0.12416410935142994,-0.08594750226365998
2080,-0.2630234859049347,-0.2491562952735122,-0.1753058347304387,-0.07690899425343704,-0.18434318456014268,-0.18434318455705548,-0.1466771680140087,-0.15183439706811686,-0.24667675816485518,-0.12520077312307415,-0.08876788573244
2081,-0.26459348347076866,-0.2510258257178773,-0.1793092713285818,-0.07657072651418043,-0.186558511401394,-0.1865585113975098,-0.14823062304949108,-0.15297620150604285,-0.2480050074851727,-0.12629755112060834,-0.0924601489721706
2082,-0.2661103408771712,-0.2529938124063319,-0.18374616738918842,-0.07599440021228773,-0.18831521613408692,-0.18831521613663008,-0.149627485629752,-0.15503739673600767,-0.24964941371894644,-0.12761504604770116,-0.09580373703989875
2083,-0.2670952005017194,-0.25471017533403595,-0.18775549875061612,-0.07557737951712663,-0.190052962743879,-0.1900529627418577,-0.1514244093728953,-0.1564530372388951,-0.25132459494431575,-0.1287525405965165,-0.09883753001733558
2084,-0.2685259024966649,-0.25631819958993923,-0.19135074939171115,-0.07488015843082388,-0.19143857743607998,-0.19143857742421927,-0.15317841499872684,-0.15775673094722725,-0.2527152337152844,-0.12974291619847014,-0.1020881174380233
2085,-0.2698922390502971,-0.2582815879026269,-0.19543066014151886,-0.0746751678917878,-0.1933714708998831,-0.19337147089025591,-0.15525407204471195,-0.15909417171390705,-0.2545483663688553,-0.13194103365030693,-0.10624637146789698
2086,-0.2710892720381829,-0.2596935265293704,-0.19898702928808398,-0.07456175937186393,-0.19505822060394298,-0.19505822059358113,-0.15667348288059324,-0.16047263311316104,-0.255863679207209,-0.13412077081674303,-0.10971352764179991
2087,-0.27223308786943584,-0.2612632415034771,-0.20250025920749617,-0.074272569905533,-0.1968865358709039,-0.196886535870436,-0.1584249977660501,-0.1617592616040552,-0.25725541459803974,-0.13595630515109502,-0.11274537113813254
2088,-0.27359124203212076,-0.2629880672541285,-0.20592087539367976,-0.07374385893142552,-0.19801325462095853,-0.19801325462668043,-0.16110969266179884,-0.1632986562053167,-0.25892965215924013,-0.1371537511565203,-0.11617023592459556
2089,-0.27489075154844783,-0.264195776460171,-0.20988990056138954,-0.07397088051394898,-0.19950424006648085,-0.19950424006447295,-0.16348756375573345,-0.1647718297700725,-0.2600513719236877,-0.13864197766614553,-0.1198391006399692
2090,-0.2760220042929233,-0.2656810338932038,-0.21253257109369955,-0.0740502878974654,-0.20132597363144578,-0.20132597361772256,-0.165792166356716,-0.16596819752496672,-0.26081907146972466,-0.14056532885838158,-0.12317772260112404
2091,-0.2772322531950161,-0.26700756148548394,-0.21537768841304777,-0.07383518871617775,-0.20318471279790512,-0.2031847127922831,-0.1685693992808767,-0.16726430323305483,-0.261635617943066,-0.14271540983876435,-0.1263697166804319
2092,-0.2780772129184767,-0.26831569210962475,-0.21833508649835023,-0.0734473417846325,-0.2046960821613011,-0.20469608215970697,-0.17148390534822902,-0.16831925340502188,-0.26256165333898296,-0.14500752920207818,-0.12936797868043154
2093,-0.27980928694341217,-0.2699244185336478,-0.22165654802168908,-0.07339352045140238,-0.20646678781270397,-0.2064667878193758,-0.17423167155190955,-0.1693267198637297,-0.26375238968420806,-0.14702890975722085,-0.13163145191004094
2094,-0.2817002799623958,-0.2719218095941521,-0.22403612073080265,-0.07274340054609608,-0.2082129764425975,-0.2082129764757336,-0.17685067187366113,-0.1702599395203069,-0.2645833769375619,-0.14984168838773781,-0.133976596104416
2095,-0.28340328398415987,-0.2738145790675323,-0.22592716077557168,-0.07214015036155821,-0.20995116774063685,-0.20995116774390674,-0.17991970542838123,-0.17103586168469737,-0.26546406921990157,-0.15232020712131888,-0.13642174131413087
2096,-0.2849031643132694,-0.2761828200185627,-0.22849294712875673,-0.0718194017067755,-0.21176663967664766,-0.21176663966662954,-0.18273688030246926,-0.17179997294514918,-0.2664122736387609,-0.15533581274341113,-0.13902852518938283
2097,-0.286122097195729,-0.2784333705901032,-0.23123526087029037,-0.07150297033690486,-0.21347470341402608,-0.2134747034196252,-0.18532524310797577,-0.17273872696346568,-0.26763928884390453,-0.15838334751951794,-0.14128856268924286
2098,-0.2876567315391278,-0.2804892713177484,-0.23383896909551968,-0.07095058150202557,-0.21539521488141639,-0.21539521489638808,-0.18761419901275048,-0.17413043270965398,-0.2685982556252907,-0.16069313658148657,-0.14346725181863598
2099,-0.28927743393411787,-0.28276122763544975,-0.23555020553793374,-0.07101316099884536,-0.21700168783087695,-0.21700168784330084,-0.19088314002685153,-0.1750309272270098,-0.26939599341086456,-0.16412542686994303,-0.14619814570996706
2100,-0.29149027025404906,-0.2854017560750185,-0.237380374905814,-0.07103018530147331,-0.21885790962195284,-0.21885790963407434,-0.19418033361987286,-0.17621073140646876,-0.270117768992316,-0.16782402336939922,-0.14846114412407113
end_data,,,,,,,,,,,
