2037,-0.05476862810244999,-0.039492647814291,-0.00665052282249,-0.03153331917402499,-0.004415114275220001,-0.016380551472125998,-0.014857116098594001,-0.003400379033655,-0.015570615712025,-0.011451095908601,-0.020672296448789
2038,-0.057331356328094996,-0.041235849547793,-0.006593567597778,-0.033133992758461,-0.004471702799704999,-0.018423351035764,-0.016093719985033998,-0.003908781661678,-0.016822573265964997,-0.011558355001494,-0.021694314009575
2039,-0.059247044342457006,-0.043031935892672,-0.006531354505929,-0.034738120507505,-0.004497385470267,-0.020396310274317,-0.017364107574195,-0.0052479129503359995,-0.018115651786949002,-0.011759452563375999,-0.022587070849374998
2040,-0.06180897907991299,-0.044547941844734,-0.006498883667051999,-0.036266604625514995,-0.004609410474087,-0.022712201703588,-0.018689317498421,-0.006793980351491001,-0.019494580127316,-0.011837414844694999,-0.023469341198756002
2041,-0.063875963016966,-0.046302396916531,-0.006391104050625,-0.037769834945489994,-0.004699528872321,-0.024987581362363002,-0.019924315350795002,-0.008521583253813,-0.020562364810029002,-0.012051026413724,-0.024295691025899003
2042,-0.06582375807704001,-0.047891966801588,-0.006297569033696,-0.039189223174717,-0.004725924352078,-0.027185607504758007,-0.021173080566133002,-0.010109621919476999,-0.021067243190222996,-0.012192847219411999,-0.025114797156728003
2043,-0.068166947316043,-0.04930253913268401,-0.006261378525757,-0.040634085584967,-0.004872966788008,-0.029648240165539005,-0.022344999229619,-0.011530136748711001,-0.021104310518155003,-0.012265912029664,-0.025927556038353
2044,-0.07025411430364299,-0.05081120869139699,-0.006081796422403,-0.042008745394569,-0.004978797626661,-0.031963183593025,-0.023346004176279,-0.012995877884497,-0.020686366486290998,-0.012426812163637002,-0.026632046462117
2045,-0.072111905808812,-0.05226163550507901,-0.005977153330008001,-0.043262879976992005,-0.00516105182701,-0.034367701739378996,-0.024334864451769002,-0.014485523689147,-0.019953782966833002,-0.012608848561378,-0.027261301648658996
2046,-0.073758921550525,-0.053683207013647996,-0.005884784593671999,-0.044564903028297,-0.005403648045255,-0.036754406824482,-0.025281404699015998,-0.015692759616955005,-0.018845771283556998,-0.012594110134759001,-0.027916922291067
2047,-0.07535640748333398,-0.055194603147131,-0.005788186072582,-0.04593194286490299,-0.00569437663195,-0.039233143810009,-0.02618495564515,-0.016799875860374,-0.017447568476065003,-0.012641677727106001,-0.028510610487102
2048,-0.07778244120570002,-0.05679920497523701,-0.0058648049089220005,-0.047264861582751,-0.0062701106970580005,-0.041850196245345,-0.027039693249548996,-0.018397296472557997,-0.015746714805048,-0.012585770940162999,-0.028891239993255
2049,-0.079564637371711,-0.05836004185807901,-0.005965466619067,-0.048528864221965,-0.006890465735369,-0.044727860783199,-0.027903875741582998,-0.019871035469516,-0.013799119273894002,-0.012535576577271,-0.029273966324272996
2050,-0.08115039867005401,-0.059977308546909996,-0.006020289691805,-0.049795788182349,-0.007529562616314001,-0.047369978947802996,-0.028705397082623,-0.021064171041620002,-0.011901436029209001,-0.012501191826097,-0.029706989722403
2051,-0.08290986615467001,-0.06154521782454399,-0.006330264422442,-0.05100594505779899,-0.008189296883444,-0.05035318096426798,-0.029594066376741,-0.022185161337625003,-0.009890424319325,-0.012630350988957999,-0.030115881360639
2052,-0.084338170436145,-0.063167977278127,-0.0066714648792759994,-0.05210057319199501,-0.008714090866697999,-0.05285100889986799,-0.030660412022132,-0.023359389809696,-0.008713137423983,-0.012603328093739999,-0.030501952923284004
2053,-0.08565871194741201,-0.064553651904478,-0.007199678562404,-0.053150885701623,-0.009029460556056,-0.054621617240370984,-0.031809788941655995,-0.024449502241979,-0.009026439436997,-0.012615827833424999,-0.03081019037426
2054,-0.08681897229677898,-0.06562778704943902,-0.007892336930855,-0.054099698725922005,-0.009202891474284,-0.05624594787704701,-0.033006476023244996,-0.025614280468131002,-0.010590649992326999,-0.012689778627714,-0.031082548982268
2055,-0.088223814657828,-0.06668405202163499,-0.008748699180398,-0.055136078699943,-0.009243182354068,-0.057974049816067005,-0.034166028433847,-0.026624217986584,-0.013106275409582,-0.012701907124348,-0.031361555282019005
2056,-0.08932950581079901,-0.067784678686846,-0.009558867243768,-0.056094035427996,-0.009270039100914,-0.05944093065558802,-0.035327534153688,-0.027678362880341003,-0.016109114467463,-0.012707277949218998,-0.031546100011516
2057,-0.09014085142442999,-0.068896677293999,-0.01039601406877,-0.05699431490502101,-0.009048834584419,-0.06044980173211299,-0.03646038314549099,-0.028736029390507997,-0.018242243893196,-0.012753309087983,-0.031814753440292
2058,-0.090849350089372,-0.07023887912872702,-0.011332216464214,-0.057926745760119996,-0.0089780807718,-0.06153045854136399,-0.03756950368072,-0.029771947025191994,-0.021696385074272996,-0.012846799904025999,-0.031985697473231
2059,-0.091525878024728,-0.071241556607271,-0.012201561987516,-0.058773027755697,-0.008799927701235,-0.06253746017771,-0.038621294995316004,-0.030593965584529002,-0.025095546549732,-0.012937844749946999,-0.032208612866097
2060,-0.09251838557907102,-0.072141914223933,-0.013263163866618,-0.05960843345588,-0.008976829395716,-0.063363276590548,-0.039591925580505,-0.031380596630427006,-0.028521229756026993,-0.013022463941492,-0.032503431476694
2061,-0.093118456653464,-0.07294102099202102,-0.014395169853936001,-0.060410203732438994,-0.008882547035941,-0.06399500463453399,-0.040460117378841004,-0.032139544071188,-0.031932342237489,-0.013157420104439,-0.032674004609562005
2062,-0.09376469408753699,-0.07402792410531701,-0.015488761566206,-0.061106355248486996,-0.008877255217842,-0.06468575257305001,-0.041095527370527,-0.032903051939791,-0.034813092151030005,-0.0133187392954,-0.032945841244473
2063,-0.09449279622245302,-0.075070873169448,-0.016561696099378,-0.06174595102000199,-0.009018951059248999,-0.06541469325836599,-0.04168963303814199,-0.033578400396261,-0.038126251272726,-0.013513998036617,-0.0330508551772
2064,-0.09530398296999901,-0.075960367942018,-0.017577643345068,-0.062511462825212,-0.009263192730045,-0.06617383674042401,-0.042241564563912,-0.03418644993041801,-0.041428562704668,-0.013769456666791,-0.033145729942891
2065,-0.09593881240393401,-0.076865801336592,-0.018612982655108,-0.06339178322460699,-0.009530886345828,-0.067010217980538,-0.04272916634222299,-0.034821436380143,-0.04425374356001599,-0.014086520394218002,-0.033194099182553
2066,-0.09636254676067699,-0.077694964573337,-0.019940358870067003,-0.06433971766989,-0.009665233877094,-0.06769994803314401,-0.043084176226871995,-0.035393018639827994,-0.048129036089562,-0.014397726140748001,-0.033244755455089
2067,-0.09693352467632799,-0.07850679397614099,-0.02116698708062,-0.06535627530841599,-0.010071381915639,-0.068312372426089,-0.043376132111033,-0.035973766458862994,-0.051374353122632,-0.01471196240368,-0.033331251760371994
2068,-0.097384277383425,-0.07957483916053901,-0.022421564081042004,-0.066251256408697,-0.010358004477168,-0.06888653401092,-0.043603305214489,-0.03656580369795501,-0.054140891239412,-0.015017595953752,-0.033334515395519
2069,-0.097850789066206,-0.08068532132905801,-0.023503720167551,-0.066901634744812,-0.010560577699266,-0.06936774668517899,-0.043703599891703,-0.037141107732109,-0.056826836437853995,-0.015310778087673999,-0.033304501102314
2070,-0.09835788381877,-0.081772369161746,-0.024628668727576002,-0.067607007751398,-0.011016380468569,-0.06990548909515,-0.043694645150793,-0.037798505241126004,-0.060183372410271,-0.015595983954393999,-0.03335128704041
2071,-0.09883528857131299,-0.082834929158366,-0.025531444451674004,-0.06825908516159801,-0.011454382572148002,-0.07052516603811798,-0.043779122516405006,-0.038529583019237,-0.063631258569503,-0.015866669900128,-0.033291772442473
2072,-0.099269432230921,-0.08387528655462,-0.026755402415902,-0.069052456989533,-0.012038125079223999,-0.07100261991780998,-0.043729665596082996,-0.03916393861665599,-0.066372323788184,-0.016018290581544997,-0.033165377174471
2073,-0.09956114158180601,-0.084871926020839,-0.027784973536123005,-0.069982469536897,-0.012559459736151999,-0.071505539812447,-0.043593570908653005,-0.039630946343935006,-0.068689547658529,-0.016123410733395002,-0.032854711479725004
2074,-0.09992952226710702,-0.08572589816175,-0.028905546928062,-0.07078046566467601,-0.013239065020834,-0.07198211760434202,-0.043432360592709,-0.040169880626664996,-0.07160393513594601,-0.016180482887685,-0.032729996768529
2075,-0.100291303061425,-0.086577370742083,-0.030257495209501002,-0.071579814192891,-0.013838889057296001,-0.07238300233441901,-0.043112910038453,-0.040721534945893,-0.07380440528054401,-0.016166187780826,-0.032612257727174
2076,-0.10064042843091098,-0.08747324257472198,-0.031255925052686,-0.07230458587042901,-0.014500510409043,-0.07276067205238601,-0.04296098155855801,-0.041280815080477005,-0.07607504233305999,-0.016090929666348,-0.032235928572526
2077,-0.10097865318301502,-0.08849369310818099,-0.032334792264115,-0.073126032398379,-0.015108079617462002,-0.07312484418487,-0.042698375658099995,-0.04172301837387,-0.077812804660248,-0.016080704014171998,-0.031953532708396
2078,-0.10126864946453501,-0.08948834708507701,-0.033265547186564,-0.073882571961414,-0.015660462935498,-0.07349252551491701,-0.042092674644275,-0.042050566533017,-0.079655152895908,-0.016045843547809004,-0.031626896561463
2079,-0.10157833136532601,-0.090518377058668,-0.03446363960693399,-0.074676898817942,-0.01626561165787,-0.073866751373133,-0.04144558907513099,-0.042432310966807996,-0.081378447084145,-0.016015934523797,-0.031101091188491
2080,-0.10193843709300801,-0.09150545343688299,-0.035439131606041,-0.075317809340903,-0.016956053242477,-0.074221611336689,-0.041045686746189,-0.042804313371358,-0.083042515324413,-0.015840125475884002,-0.030618261199392996
2081,-0.1022701650524,-0.092435150715557,-0.036313390632726004,-0.07593713487737198,-0.01750524473975,-0.07462834336179801,-0.040505808432747994,-0.043200854415065,-0.084576256934383,-0.015699406369781996,-0.030032689907905002
2082,-0.10259182448808599,-0.09329834748722099,-0.037199714974893,-0.076686790106535,-0.018057855916041997,-0.074998757390862,-0.039661465320386995,-0.043506953612985004,-0.08616987478782001,-0.015568714654718,-0.029563671421823
2083,-0.10290948354847401,-0.094231731898409,-0.038223218503942995,-0.07744085154511801,-0.018688458736270997,-0.07532303092254002,-0.038884389374783994,-0.043873398712406995,-0.08726933601057199,-0.015318293763031999,-0.029157276893904998
2084,-0.10321991868574901,-0.095140276932351,-0.039468374282735995,-0.078084563241969,-0.019533053088477,-0.07564393507107699,-0.038120751997113005,-0.044194390326797006,-0.08829081188244901,-0.014757932218806,-0.028603810230746
2085,-0.103520647307937,-0.096005168879189,-0.040471459439947996,-0.07877112269036499,-0.020192660433731,-0.07597180142342601,-0.036871351491316,-0.044479097248966,-0.08938757990417301,-0.014520872163902,-0.028251844654393
2086,-0.10378290174981197,-0.09686063276652102,-0.041432492462774,-0.079662017043092,-0.020746567753817002,-0.076259170736175,-0.035827459475321996,-0.044734912868837004,-0.09048528301675399,-0.014230238437486,-0.027839758523454
2087,-0.10399088494359202,-0.09766605662359801,-0.042333460377476,-0.080387665850522,-0.021319320496708,-0.076521929040073,-0.034714249803909004,-0.044981867470123005,-0.09167648311697402,-0.013988141479371002,-0.027447538173143
2088,-0.104143968463313,-0.098433746016205,-0.043177297729576,-0.081343908216824,-0.021995909515171,-0.07677134205895199,-0.033417799462277,-0.045188907053112,-0.09275721089900099,-0.013858566989166,-0.026830946130397004
2089,-0.10440514295182299,-0.09916498745032301,-0.044157722132916,-0.08205553433743999,-0.022690354264638002,-0.077053447258676,-0.032054499125769007,-0.045369022509917,-0.09342966651811599,-0.013732184567975,-0.026333459850861
2090,-0.104678423060384,-0.099862605009648,-0.045122239481599005,-0.082934691122608,-0.023313180131923003,-0.07738675583912001,-0.030945503746236,-0.045600775543849004,-0.09402743866795002,-0.013717850411182,-0.026061124052843
2091,-0.10492219822273002,-0.10053048280362001,-0.046349189274216,-0.083691149595114,-0.023875268454521002,-0.077697420823679,-0.029485214624254,-0.04574208714672601,-0.09462019518463599,-0.014003002404138999,-0.025542697543205
2092,-0.105142355637903,-0.10117216352639699,-0.047266053141992996,-0.08438395100262501,-0.024451611737575995,-0.077916205232696,-0.027784089609987003,-0.045875277995356,-0.09514125388519198,-0.014184297846876,-0.025284647297785998
2093,-0.10536755779991797,-0.10180940927846299,-0.048138890386646004,-0.085178516154616,-0.025041324974595998,-0.07820569297653598,-0.025848879742614003,-0.046024111557683,-0.095644648724649,-0.014754299520552,-0.024651628172869998
2094,-0.10560864911149898,-0.10246024900692502,-0.049047176871167004,-0.086006440119277,-0.025448421430747,-0.07851157065712498,-0.024385129284617,-0.046189413325151,-0.096129248806019,-0.015309049669514,-0.02438845697915
2095,-0.105816413534843,-0.103090817262324,-0.049891975128298995,-0.086784393269244,-0.025986166659972998,-0.07881994480681301,-0.022880073563415,-0.046323682722857,-0.09658600822430499,-0.016251403506938,-0.023943543028474998
2096,-0.10601523481935499,-0.10356847924260698,-0.05068650636041,-0.087534283994098,-0.026540004135236,-0.079128648119122,-0.021645501787818003,-0.046443682772819,-0.09705700509811999,-0.016821820977733,-0.023514996778081
2097,-0.10612572344171697,-0.10412897617548,-0.05138584932040101,-0.088159819514747,-0.027091853096482,-0.07941347900445901,-0.02018119806677,-0.046384392999128,-0.097454160171172,-0.018422684089442,-0.023106238474966005
2098,-0.10629673672425402,-0.10467263548455802,-0.052219297892887005,-0.088959789310467,-0.027618055612439997,-0.079697338470625,-0.019341026519567997,-0.046440677910721,-0.09778969244765398,-0.019271383161038002,-0.022479038015094002
2099,-0.10647922883628702,-0.10507214901248499,-0.052898417666622996,-0.08977805318643801,-0.028145826445199,-0.079994075866508,-0.018464899168960998,-0.046416663502729,-0.09804092329782399,-0.020162663227833,-0.022089981380840003
2100,-0.106712136976987,-0.105532147205251,-0.053476474428267994,-0.09063561500819,-0.028669377512769,-0.080290600093345,-0.018236630534031,-0.046616246481971,-0.09830657015753999,-0.021439070644878,-0.021899729639571004
end_data,,,,,,,,,,,
